Image_Path,x1,y1,x2,y2,class
Data\Train\Images\10000_1.jpg,0.316,0.3,0.684,0.72,1
Data\Train\Images\10001_1.jpg,0.256,0.28,0.676,0.772,1
Data\Train\Images\10005_1.jpg,0.32,0.268,0.704,0.72,1
Data\Train\Images\10006_1.jpg,0.252,0.244,0.652,0.752,1
Data\Train\Images\10007_1.jpg,0.284,0.272,0.696,0.78,1
Data\Train\Images\10008_1.jpg,0.232,0.28,0.68,0.828,1
Data\Train\Images\10009_1.jpg,0.284,0.264,0.644,0.72,1
Data\Train\Images\1000_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10013_1.jpg,0.332,0.284,0.712,0.76,1
Data\Train\Images\10017_1.jpg,0.304,0.268,0.672,0.74,1
Data\Train\Images\10026_1.jpg,0.336,0.284,0.712,0.732,1
Data\Train\Images\1002_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1002_1.jpg,0.28,0.244,0.656,0.724,1
Data\Train\Images\10034_1.jpg,0.304,0.296,0.632,0.716,1
Data\Train\Images\10039_1.jpg,0.272,0.252,0.66,0.756,1
Data\Train\Images\1003_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10040_1.jpg,0.304,0.252,0.704,0.784,1
Data\Train\Images\10041_1.jpg,0.304,0.268,0.676,0.752,1
Data\Train\Images\10043_1.jpg,0.296,0.26,0.656,0.72,1
Data\Train\Images\10045_1.jpg,0.32,0.34,0.64,0.724,1
Data\Train\Images\1004_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10050_1.jpg,0.304,0.284,0.708,0.756,1
Data\Train\Images\10051_1.jpg,0.272,0.26,0.692,0.788,1
Data\Train\Images\10056_1.jpg,0.296,0.304,0.676,0.752,1
Data\Train\Images\10057_1.jpg,0.328,0.288,0.716,0.748,1
Data\Train\Images\10058_1.jpg,0.292,0.28,0.648,0.772,1
Data\Train\Images\10062_1.jpg,0.34,0.26,0.704,0.748,1
Data\Train\Images\10063_1.jpg,0.324,0.28,0.72,0.788,1
Data\Train\Images\10064_1.jpg,0.308,0.252,0.684,0.74,1
Data\Train\Images\10067_1.jpg,0.28,0.26,0.672,0.74,1
Data\Train\Images\1006_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1006_1.jpg,0.384,0.276,0.744,0.74,1
Data\Train\Images\10073_1.jpg,0.316,0.264,0.748,0.76,1
Data\Train\Images\10074_1.jpg,0.26,0.276,0.608,0.724,1
Data\Train\Images\10075_1.jpg,0.324,0.26,0.7,0.78,1
Data\Train\Images\1007_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1007_1.jpg,0.264,0.292,0.624,0.732,1
Data\Train\Images\10080_1.jpg,0.376,0.268,0.728,0.768,1
Data\Train\Images\10084_1.jpg,0.276,0.268,0.668,0.752,1
Data\Train\Images\10085_1.jpg,0.328,0.26,0.68,0.752,1
Data\Train\Images\10086_1.jpg,0.372,0.252,0.688,0.708,1
Data\Train\Images\10087_1.jpg,0.336,0.256,0.708,0.756,1
Data\Train\Images\1008_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10091_1.jpg,0.38,0.304,0.692,0.712,1
Data\Train\Images\10092_1.jpg,0.308,0.292,0.676,0.752,1
Data\Train\Images\10093_1.jpg,0.308,0.288,0.672,0.732,1
Data\Train\Images\1009_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10103_1.jpg,0.264,0.28,0.668,0.768,1
Data\Train\Images\10105_1.jpg,0.288,0.256,0.672,0.752,1
Data\Train\Images\10107_1.jpg,0.292,0.24,0.668,0.728,1
Data\Train\Images\1010_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10118_1.jpg,0.332,0.288,0.712,0.78,1
Data\Train\Images\10119_1.jpg,0.316,0.272,0.696,0.744,1
Data\Train\Images\1011_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\1011_1.jpg,0.324,0.264,0.72,0.748,1
Data\Train\Images\10120_1.jpg,0.348,0.252,0.78,0.784,1
Data\Train\Images\10122_1.jpg,0.32,0.272,0.688,0.752,1
Data\Train\Images\10126_1.jpg,0.32,0.288,0.676,0.74,1
Data\Train\Images\1012_0.jpg,0.0,0.0,0.0,0.0,0
Data\Train\Images\10130_1.jpg,0.392,0.252,0.776,0.776,1
